,resultrowid,toxpointsummaryrowid,testmaterial,program,programcode,parentprojectcode,parentproject,projectcode,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,sampleyear,collectiontime,locationcode,collectiondepth,unitcollectiondepth,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,matrixcode,method,analytegroup,analytesubgroup,analyte,analytecode,fraction,fractioncode,unitname,result,mdl,rl,resultqualcode,qacode,qualcombo,batchverification,compliancecode,displaycode,displaycode_toxresult,collectionmethod,collectiondevice,positionwatercolumn,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,toxresultqacode,toxtestdurcode,wqsource,timepoint,toxpointmethod,treatment,unittreatment,treatmentconcentration,toxbatchstartdate,reftoxbatch,organismageatteststart,repcount,mean,stddev,statmethod,alphalevel,evalthreshold,msd,sigeffectcode,bvalue,calcvaluetype,calculatedvalue,criticalvalue,percenteffect,compositeid,compositetype,commonname,species,numberfishpercomp,tissuename,tissuecode,weightavgg,tlminmm,tlmaxmm,tlavgmm,compositetissueprep,organismgroup,lifstage,sievesize,grabsize,unitgrabsize,sourcerdc,datausenotes,sm_geom,regional_board,countynum,county_name,huc8_name,huc10_name,huc12_name,baysegment_name
139476,CA3CD7E4-E9C1-46A8-8205-2CB4754113D9,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,San Joaquin River (BG30),BG30,Bays and Harbors,38.021,-121.805,wgs84,2017-09-07,2017,14:13:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090817_AB5_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,Salinity,ppt,25.0,2017-09-08,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D002F346FD2BCDC69C1E86B5735FE7A5141,5.0,34.0,Sacramento,San Joaquin Delta,Middle River-San Joaquin River,Markley Canyon-San Joaquin River,Rivers
153937,265A6149-4BDF-403D-8845-A1C9EBA16EDA,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,Central Bay (CB021W),CB021W,Bays and Harbors,37.83,-122.33,nad83,2007-08-13,2007,08:36:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-3_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,VAF,Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-14,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D002235E12946F969C1BD815E91AB605141,2.0,1.0,Alameda,San Pablo Bay,San Francisco Bay,Richardson Bay-San Francisco Bay,Central Bay
153938,3E9BCB52-F2E3-4C30-B649-A1955319E040,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,South Bay (SB047W),SB047W,Bays and Harbors,37.62,-122.3,nad83,2007-08-14,2007,11:55:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-4_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,VAF,Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-15,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D0073262BB7A4F769C134C21CB1CE435141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,South Bay
153939,F27B0076-C305-4685-8938-A3596FDEB3C3,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,San Pablo Bay (SPB021W),SPB021W,Bays and Harbors,38.04,-122.38,nad83,2007-08-09,2007,11:05:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-2_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,VAF,Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-10,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00F0A210E9FDFB69C14667D9809D7D5141,2.0,21.0,Marin,San Pablo Bay,San Pablo Bay,San Pablo Bay,San Pablo Bay
153940,83326375-BC43-4C6B-9C54-854F73073446,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,Lower South Bay (LSB027W),LSB027W,Bays and Harbors,37.5,-122.12,nad83,2007-08-16,2007,11:35:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-5_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,VAF,Qual,30,30.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",Some WQ deviances,VTW,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-17,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D005BCEE606DCED69C1901226D959335141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,Lower South Bay
153941,B15D2E02-C2E9-457D-B163-389DBB0C2C7D,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,Suisun Bay (SU023W),SU023W,Bays and Harbors,38.1,-122.06,nad83,2007-08-08,2007,13:19:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-1_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,VAF,Qual,30,30.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD","Due to failure by FedEx to deliver test organisms as scheduled, the tests for samples BG20 and BG30 were initiated ~47 hrs and ~43 hrs after sample collection, respectively.Some WQ deviances",VTW,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-09,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00FDB07A2199EA69C1F121CF86E6855141,2.0,48.0,Solano,Suisun Bay,Suisun Bay,Suisun Bay,Suisun Bay
154054,4083058C-98BE-443D-8CA3-477BC7DE8ACC,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,Lower South Bay (LSB061W),LSB061W,Bays and Harbors,37.49578108,-122.0934142,nad83,2015-08-26,2015,13:02:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_082715_AB1_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2015-08-27,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D0051A855166AEC69C143429ADBC5325141,2.0,1.0,Alameda,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,Lower South Bay
154055,4B90211C-B7D8-4BF1-8A0A-17BD8B24CCB1,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,Suisun Bay (SU048W),SU048W,Bays and Harbors,38.10814102,-122.02201480000001,nad83,2015-09-01,2015,07:48:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090215_AB4_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,Salinity,ppt,25.0,2015-09-02,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00DE09B39188E869C12A97ED7206875141,2.0,48.0,Solano,Suisun Bay,Suisun Bay,Suisun Bay,Suisun Bay
154056,81D0132E-C683-4156-871F-79AED61CCA50,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,South Bay (SB067W),SB067W,Bays and Harbors,37.63346894,-122.26366920000001,nad83,2015-08-27,2015,10:26:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_082815_AB2_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2015-08-28,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D008247BB2CABF569C155C769F8A7455141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,South Bay
154057,850386FC-7EF8-4153-A9B4-B4AC960F38F6,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,San Pablo Bay (SPB039W),SPB039W,Bays and Harbors,38.05927587,-122.43153570000001,nad83,2015-08-31,2015,09:36:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_091015_AB3_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances; Retest- original testing failed to meet Test Acceptability Criteria.,None,7 days,overlyingwater,initial,ToxWQMeasurement,Salinity,ppt,25.0,2015-09-10,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00D8D7C106CBFE69C1ACFB20B946805141,2.0,21.0,Marin,San Pablo Bay,San Pablo Bay,San Pablo Bay,San Pablo Bay
154058,BC6E80AD-58B2-41D3-AC74-222A32CBD458,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,Central Bay (CB040W),CB040W,Bays and Harbors,37.67518852,-122.35414159999999,nad83,2015-08-27,2015,11:41:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_082815_AB2_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,"VLC,VMD",Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2015-08-28,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D007ED6A81796FA69C16389A17A624B5141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,Central Bay
154179,4924BAE3-5B68-40D9-BDEB-8F8D25118B09,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,Suisun Bay (SU051W),SU051W,Bays and Harbors,38.06700374,-122.09371609999998,nad83,2017-09-07,2017,07:26:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090817_AB5_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,Salinity,ppt,25.0,2017-09-08,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D008A1AC5496EEC69C18CDE76E157815141,2.0,48.0,Solano,Suisun Bay,Suisun Bay,Suisun Bay,Suisun Bay
154180,76196CD5-7225-44F7-9926-7D5F1CC7DC0A,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,South Bay (SB071W),SB071W,Bays and Harbors,37.62124822,-122.3357213,nad83,2017-08-30,2017,11:21:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_083117_AB2_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2017-08-31,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00C2216EC695F969C1DB62808CFA435141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,Central Bay
154181,7F1B8C09-799A-4624-9B8F-80E302038A77,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,Lower South Bay (LSB067W),LSB067W,Bays and Harbors,37.46959684,-122.06567350000002,nad83,2017-08-29,2017,12:48:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_083017_AB1_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,"VLC,VMD",Com,20,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2017-08-30,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D008965C113E8EA69C12F4C2D8F2F2F5141,2.0,1.0,Alameda,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,Lower South Bay
154182,B99E8048-4F93-451D-9177-06EDB1927F9A,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,Central Bay (CB043W),CB043W,Bays and Harbors,37.92713888,-122.4811147,nad83,2017-09-06,2017,07:22:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090717_AB4_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2017-09-07,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00CD0C3FEA7C016AC1F27593850C6E5141,2.0,21.0,Marin,San Pablo Bay,San Francisco Bay,Richardson Bay-San Francisco Bay,Central Bay
154183,D7B8CF48-86CA-48D0-853E-963CE30A3C64,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,San Pablo Bay (SPB042W),SPB042W,Bays and Harbors,38.03763743,-122.3642433,nad83,2017-09-06,2017,13:20:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090717_AB4_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2017-09-07,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00F2BA2CA822FB69C1D3ED68054A7D5141,2.0,7.0,Contra Costa,San Pablo Bay,San Pablo Bay,San Pablo Bay,San Pablo Bay
