,resultrowid,toxpointsummaryrowid,testmaterial,program,programcode,parentprojectcode,parentproject,projectcode,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,sampleyear,collectiontime,locationcode,collectiondepth,unitcollectiondepth,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,matrixcode,method,analytegroup,analytesubgroup,analyte,analytecode,fraction,fractioncode,unitname,result,mdl,rl,resultqualcode,qacode,qualcombo,batchverification,compliancecode,displaycode,displaycode_toxresult,collectionmethod,collectiondevice,positionwatercolumn,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,toxresultqacode,toxtestdurcode,wqsource,timepoint,toxpointmethod,treatment,unittreatment,treatmentconcentration,toxbatchstartdate,reftoxbatch,organismageatteststart,repcount,mean,stddev,statmethod,alphalevel,evalthreshold,msd,sigeffectcode,bvalue,calcvaluetype,calculatedvalue,criticalvalue,percenteffect,compositeid,compositetype,commonname,species,numberfishpercomp,tissuename,tissuecode,weightavgg,tlminmm,tlmaxmm,tlavgmm,compositetissueprep,organismgroup,lifstage,sievesize,grabsize,unitgrabsize,sourcerdc,datausenotes,sm_geom,regional_board,countynum,county_name,huc8_name,huc10_name,huc12_name,baysegment_name
139263,74E866DD-0894-4CBB-AE00-7617A055A192,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,South Bay (SB061W),SB061W,Bays and Harbors,37.61758,-122.25923,wgs84,2011-09-15,2011,10:20:00,OpenWater1,1.0,m,Grab,1,0.0,PER_70MYSI_C2_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,VLC,Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",pH drift outside of EPA Method specifications,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-16,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00C9DE4E676DF569C13C816FAA79435141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,South Bay
139264,8711F047-A73D-4CA2-BCAB-A26EC93EAB26,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC10),BC10,Bays and Harbors,37.821999999999996,-122.35,wgs84,2011-09-16,2011,10:40:00,OpenWater1,1.0,m,Grab,1,0.0,PER_70MYSI_C2_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,VLC,Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",pH drift outside of EPA Method specifications,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-16,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D0041945A765CFA69C1505BD2B3915F5141,2.0,1.0,Alameda,San Pablo Bay,San Francisco Bay,Richardson Bay-San Francisco Bay,Central Bay
139265,BFC77B5F-95BE-4990-8BF2-6BF9A80F2D51,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,Central Bay (CB033W),CB033W,Bays and Harbors,37.87172,-122.36898000000001,wgs84,2011-09-16,2011,13:05:00,OpenWater1,1.0,m,Grab,1,0.0,PER_70MYSI_C2_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,VLC,Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",pH drift outside of EPA Method specifications,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-16,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00C3185C9164FB69C11B80E4FD69665141,2.0,1.0,Alameda,San Pablo Bay,San Francisco Bay,Richardson Bay-San Francisco Bay,Central Bay
139376,34FAA4B9-E541-4DC0-9AEF-D56FABDA4359,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC10),BC10,Bays and Harbors,37.821999999999996,-122.35,wgs84,2015-08-27,2015,12:58:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_082815_AB2_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,"VLC,VMD",Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2015-08-28,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D0041945A765CFA69C1505BD2B3915F5141,2.0,1.0,Alameda,San Pablo Bay,San Francisco Bay,Richardson Bay-San Francisco Bay,Central Bay
139377,6A4D390F-B1CB-4DC7-9416-DA579213F94C,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,San Joaquin River (BG30),BG30,Bays and Harbors,38.021,-121.805,wgs84,2015-09-01,2015,12:39:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090215_AB4_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,Salinity,ppt,25.0,2015-09-02,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D002F346FD2BCDC69C1E86B5735FE7A5141,5.0,34.0,Sacramento,San Joaquin Delta,Middle River-San Joaquin River,Markley Canyon-San Joaquin River,Rivers
139378,C7878358-D7B6-44EC-8A0C-9027FB2DAC93,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,Sacramento River (BG20),BG20,Bays and Harbors,38.06,-121.81,wgs84,2015-09-01,2015,10:26:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090215_AB4_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,Salinity,ppt,25.0,2015-09-02,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00F78B8D6502DD69C1E2005E5160805141,5.0,34.0,Sacramento,Lower Sacramento,Sherman Lake-Sacramento River,Threemile Slough-Sacramento River,Rivers
139379,FF0198D0-4E61-4278-B208-790374EDD745,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,Dumbarton Bridge (BA30),BA30,Bays and Harbors,37.514,-122.135,wgs84,2015-08-26,2015,08:57:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_082715_AB1_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2015-08-27,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00B2D541C0ACEE69C1C35151FF44355141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,South Bay
139473,3ED74951-8F57-494C-A396-8F1A07BC1ACA,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,Sacramento River (BG20),BG20,Bays and Harbors,38.06,-121.81,wgs84,2017-09-07,2017,12:30:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090817_AB5_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,Salinity,ppt,25.0,2017-09-08,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00F78B8D6502DD69C1E2005E5160805141,5.0,34.0,Sacramento,Lower Sacramento,Sherman Lake-Sacramento River,Threemile Slough-Sacramento River,Rivers
139474,65396F33-93F7-47BB-AD44-71ADC8711176,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,Dumbarton Bridge (BA30),BA30,Bays and Harbors,37.514,-122.135,wgs84,2017-08-29,2017,07:29:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_083017_AB1_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,"VLC,VMD",Com,20,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2017-08-30,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00B2D541C0ACEE69C1C35151FF44355141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,South Bay
139475,B7FFE5CB-165D-42DF-B444-E0539CF8C7F6,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,17RMP2ST,2017 RMP Status and Trends,RMP,SFEI,Yerba Buena Island (BC10),BC10,Bays and Harbors,37.821999999999996,-122.35,wgs84,2017-08-31,2017,13:30:00,OpenWater1,1.0,m,Grab,1,0.0,PER_SFEI_090117_AB3_W_TOX,,samplewater,5,EPA 821/R-02-014,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,"VLC,VMD",Com,30,20.0,Water_Grab,peristaltic water pump,Subsurface,,,,,,100.0,,PER,PER,A,Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2017-09-01,Not Applicable,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D0041945A765CFA69C1505BD2B3915F5141,2.0,1.0,Alameda,San Pablo Bay,San Francisco Bay,Richardson Bay-San Francisco Bay,Central Bay
